Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,iteration,param,value
0,1.0,42.0,3.0,0.01,108.84409710035797,0.0,4.91950711497304,245.97535574865208,0.09100000000000001,0.0,1,cops,1
1,1.0,72.0,3.0,0.01,190.76609950634008,2.8807150186323827,4.9019382619397,245.09691309698496,0.079,0.0,1,cops,1
2,1.0,96.0,3.0,0.01,273.07180708065647,6.059779383000546,4.888657885785631,244.4328942892816,0.07400000000000001,0.0,1,cops,1
3,1.0,128.0,3.0,0.01,367.39633398189477,7.715724280620099,4.858136688784745,242.90683443923726,0.07400000000000001,0.0,1,cops,1
4,1.0,166.0,3.0,0.01,463.0868968168225,7.715724280620099,4.805079984894526,240.25399924472632,0.07400000000000001,0.0,1,cops,1
5,1.0,204.0,4.0,0.01,532.1748907798473,12.595553932067077,4.737695170067981,236.8847585033991,0.08199999999999999,0.0,1,cops,1
6,1.0,242.0,4.0,0.01,658.6668001219415,15.38097377281041,4.721145316425498,236.05726582127497,0.075,0.0,1,cops,1
7,1.0,268.0,4.0,0.01,713.8424399798458,21.81141927465851,4.754118485536656,237.70592427683275,0.06699999999999999,0.0,1,cops,1
8,1.0,292.0,4.0,0.01,774.3957178072918,29.207721867266695,4.79566549214319,239.78327460715954,0.067,0.0,1,cops,1
9,1.0,328.0,4.0,0.01,874.4375868112533,33.06499581789797,4.790834490644998,239.5417245322499,0.067,0.0,1,cops,1
10,1.0,358.0,5.0,0.01,952.8848931531328,35.90041602176436,4.678483926897388,233.92419634486944,0.063,0.0,1,cops,1
11,1.0,386.0,5.0,0.01,1015.2109600863056,36.46428069008353,4.6361864249090665,231.80932124545336,0.063,0.0,1,cops,1
12,1.0,414.0,5.0,0.01,1118.7776560529196,40.3754536281329,4.632373108361537,231.61865541807683,0.063,0.0,1,cops,1
13,1.0,446.0,6.0,0.01,1245.482401858414,43.55166714390442,4.561675555697978,228.08377778489884,0.063,0.0,1,cops,1
14,1.0,476.0,6.0,0.01,1327.9821009845436,44.87694751042693,4.528033710512816,226.4016855256409,0.063,0.0,1,cops,1
15,1.0,506.0,6.0,0.01,1381.241394382872,46.843415044409866,4.50360990206361,225.18049510318042,0.06299999999999999,0.0,1,cops,1
16,1.0,538.0,6.0,0.01,1459.2909010442359,53.24685632954634,4.5359010653351906,226.79505326675954,0.048,0.0,1,cops,1
17,1.0,576.0,8.0,0.01,1557.7251475086769,57.290446516341525,4.502779769152311,225.13898845761554,0.076,0.0,1,cops,1
18,1.0,600.0,8.0,0.01,1595.3359818077179,59.49864702650212,4.483857452067934,224.19287260339664,0.07200000000000001,0.0,1,cops,1
19,1.0,624.0,9.0,0.01,1645.4408600861298,63.22111077356887,4.285224500799035,214.2612250399517,0.09600000000000002,0.0,1,cops,1
20,1.0,654.0,9.0,0.01,1732.5028503454232,68.23212520682837,4.3004368432080575,215.02184216040283,0.08800000000000001,0.0,1,cops,1
21,1.0,692.0,9.0,0.01,1814.142360671206,70.35217770194582,4.281219345269555,214.0609672634778,0.064,0.0,1,cops,1
22,1.0,722.0,12.0,0.01,1885.1023429764132,77.4698355521787,4.254815174307937,212.74075871539682,0.1,0.0,1,cops,1
23,1.0,754.0,12.0,0.01,1956.6293115836747,77.4698355521787,4.208670388437279,210.43351942186396,0.1,0.0,1,cops,1
24,1.0,784.0,13.0,0.01,2028.5350743376307,77.83067119172685,4.093551057780008,204.67755288900045,0.11599999999999999,0.0,1,cops,1
25,1.0,814.0,13.0,0.01,2077.7741107215484,77.83067119172685,4.04978883902601,202.48944195130056,0.11200000000000002,0.0,1,cops,1
26,1.0,832.0,13.0,0.01,2112.8391682942233,80.87207039005166,4.044676845295739,202.23384226478697,0.10800000000000001,0.0,1,cops,1
27,1.0,858.0,13.0,0.01,2190.9667744991716,81.50502814295669,4.0071651409959035,200.3582570497952,0.10400000000000001,0.0,1,cops,1
28,1.0,884.0,15.0,0.01,2293.995469916967,81.50502814295669,3.711633597500757,185.58167987503785,0.136,0.0,1,cops,1
29,1.0,910.0,15.0,0.01,2349.7998892331584,82.53149996886947,3.684543460125215,184.2271730062608,0.132,0.0,1,cops,1
30,1.0,928.0,16.0,0.01,2382.6548671982378,85.22107876492535,3.2644358134302918,163.22179067151458,0.16,0.0,1,cops,1
31,1.0,942.0,17.0,0.01,2435.843247104501,89.06139719725854,3.23552846554975,161.77642327748748,0.176,0.0,1,cops,1
32,1.0,958.0,17.0,0.01,2467.490834108345,97.4924964067064,3.3074709219578176,165.37354609789082,0.16400000000000003,0.0,1,cops,1
33,1.0,976.0,17.0,0.01,2511.7340176830417,105.10292825565028,3.3680501154440896,168.40250577220448,0.14400000000000002,0.0,1,cops,1
34,1.0,994.0,18.0,0.01,2562.888434931196,106.57934615362954,3.307592387566119,165.37961937830593,0.15600000000000003,0.0,1,cops,1
35,1.0,1014.0,19.0,0.01,2608.6785714684543,109.26368114281287,3.288888108635425,164.44440543177126,0.17199999999999996,0.0,1,cops,1
36,1.0,1034.0,19.0,0.01,2641.1787447268994,118.14341589337901,3.367683707511398,168.38418537556993,0.16,0.0,1,cops,1
37,1.0,1052.0,20.0,0.01,2668.87863415984,122.94675895558657,3.3266102274025244,166.33051137012626,0.172,0.0,1,cops,1
38,1.0,1066.0,20.0,0.01,2712.4999903995854,125.129196072,3.319593754734218,165.97968773671084,0.15200000000000002,0.0,1,cops,1
39,1.0,1086.0,20.0,0.01,2756.0305506667996,126.88375158262984,3.3066439144832405,165.33219572416203,0.128,0.0,1,cops,1
40,1.0,1106.0,20.0,0.01,2805.183373931251,130.3786073972999,3.3149322292163794,165.74661146081894,0.11600000000000002,0.0,1,cops,1
41,1.0,1130.0,20.0,0.01,2854.172515149324,132.64998938689604,3.307246471305454,165.3623235652727,0.1,0.0,1,cops,1
42,1.0,1154.0,20.0,0.01,2891.733650323696,138.65555833288366,3.3486846217718123,167.43423108859062,0.09200000000000001,0.0,1,cops,1
43,1.0,1188.0,20.0,0.01,2936.310020007067,141.31147943650203,3.3468465608845555,167.34232804422777,0.08399999999999999,0.0,1,cops,1
44,1.0,1222.0,22.0,0.01,3010.449741229866,142.7204433161491,3.2225082198544963,161.12541099272485,0.12000000000000002,0.0,1,cops,1
45,1.0,1252.0,23.0,0.01,3049.9369030102034,144.85833552814356,3.210052475068967,160.50262375344835,0.136,0.0,1,cops,1
46,1.0,1272.0,23.0,0.01,3102.2814114774856,147.21720375155962,3.2043330313693956,160.2166515684698,0.124,0.0,1,cops,1
47,1.0,1304.0,23.0,0.01,3172.9347730407226,149.8661392901734,3.2001581821623484,160.00790910811745,0.11600000000000002,0.0,1,cops,1
48,1.0,1336.0,23.0,0.01,3221.444565906382,152.2689995309697,3.1950920833639658,159.75460416819828,0.10400000000000001,0.0,1,cops,1
49,1.0,1360.0,23.0,0.01,3264.1729233534043,154.64162221688838,3.190479762255336,159.52398811276677,0.08,0.0,1,cops,1
50,1.0,1384.0,23.0,0.01,3294.3972896752166,160.70472403055678,3.233648668446005,161.68243342230022,0.07600000000000001,0.0,1,cops,1
51,1.0,1412.0,23.0,0.01,3367.604256939976,165.11220499840425,3.2543211482711194,162.71605741355592,0.07600000000000001,0.0,1,cops,1
52,1.0,1424.0,24.0,0.01,3394.289929242129,167.88817030875413,3.072346602891748,153.61733014458744,0.08,0.0,1,cops,1
