Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
21,6.0,160.0,24.0,0.060000000000000005,351.1756227665324,76.20287606628415,1.230260641200268,61.5130320600134,0.529,0.0,prosperity,0.01
22,6.0,160.0,24.0,0.060000000000000005,351.1756227665324,83.52285368018828,1.2460019095156627,62.30009547578313,0.529,0.0,prosperity,0.01
23,6.0,160.0,24.0,0.060000000000000005,351.1756227665324,90.93038522309085,1.2617812297592284,63.08906148796142,0.529,0.0,prosperity,0.01
24,6.0,162.0,24.0,0.060000000000000005,351.79894336239937,98.11604262070153,1.2733387569600765,63.66693784800381,0.529,0.0,prosperity,0.01
25,6.0,162.0,24.0,0.060000000000000005,351.79894336239937,108.1085580349717,1.3186131331473512,65.93065665736754,0.525,0.0,prosperity,0.01
26,6.0,164.0,24.0,0.060000000000000005,352.6651587719812,114.7975006342944,1.3203513846407973,66.01756923203988,0.5249999999999999,0.0,prosperity,0.01
27,6.0,164.0,25.0,0.060000000000000005,352.6651587719812,121.99124421924367,1.2384077354448337,61.92038677224169,0.529,0.0,prosperity,0.01
28,6.0,164.0,25.0,0.060000000000000005,352.6651587719812,128.7558860790402,1.2467870185661476,62.339350928307375,0.529,0.0,prosperity,0.01
29,6.0,166.0,25.0,0.060000000000000005,353.0863626044698,136.60122974901006,1.2678624163812675,63.39312081906337,0.529,0.0,prosperity,0.01
30,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,143.89354005181798,1.2339140338041266,61.69570169020633,0.549,0.0,prosperity,0.01
31,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,152.79820562822306,1.2692051114359861,63.460255571799316,0.549,0.0,prosperity,0.01
32,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,159.12934217687382,1.2709780599564469,63.548902997822346,0.5489999999999999,0.0,prosperity,0.01
33,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,166.48764692787674,1.2844901822067862,64.2245091103393,0.5489999999999999,0.0,prosperity,0.01
34,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,173.5547044417713,1.2935682735434524,64.67841367717261,0.5489999999999999,0.0,prosperity,0.01
35,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,181.9573712228966,1.31820856069517,65.91042803475852,0.549,0.0,prosperity,0.01
36,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,190.71992756808464,1.3462940205165623,67.3147010258281,0.5490000000000002,0.0,prosperity,0.01
37,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,200.9537593707445,1.3903479968469494,69.5173998423475,0.549,0.0,prosperity,0.01
38,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,207.91882724672774,1.392109469503092,69.60547347515461,0.549,0.0,prosperity,0.01
39,6.0,168.0,26.0,0.060000000000000005,354.9121210633238,216.0335255456043,1.407685271374807,70.38426356874035,0.549,-36.0,prosperity,0.01
40,5.0,168.0,26.0,0.05,354.9121210633238,223.02266502655718,1.408846303783483,70.44231518917412,0.5489999999999999,0.0,prosperity,0.01
