Step,num_cops,num_crimes_committed,num_arrests_made,tax_rate,total_stolen,total_trade_income,avg_wealth,total_wealth,avg_crime_perception,vote_outcome,param,value
28,7.000000000000001,182.0,30.0,0.07,394.3404867497884,183.75624187384213,1.393838747316302,69.69193736581512,0.5720000000000001,0.0,election frequency,10
29,7.000000000000001,182.0,30.0,0.07,394.3404867497884,190.3230336344866,1.3758871717703451,68.79435858851728,0.5720000000000001,2.0,election frequency,10
30,8.0,184.0,30.0,0.08,395.3452738769387,201.09248559227535,1.409340366079791,70.46701830398955,0.5720000000000001,0.0,election frequency,10
31,8.0,184.0,30.0,0.08,395.3452738769387,211.71913322348283,1.4247243841398185,71.23621920699092,0.5720000000000001,0.0,election frequency,10
32,8.0,186.0,30.0,0.08,396.74490417535856,220.31705570589855,1.412580177189761,70.62900885948807,0.572,0.0,election frequency,10
33,8.0,188.0,31.0,0.08,398.934834848258,232.51571269316648,1.3583021322031679,67.91510661015839,0.576,0.0,election frequency,10
34,8.0,188.0,31.0,0.08,398.934834848258,238.35141749040028,1.32037241118704,66.01862055935199,0.5760000000000001,0.0,election frequency,10
35,8.0,188.0,31.0,0.08,398.934834848258,245.43093618111692,1.3000343643122412,65.00171821561207,0.5760000000000001,0.0,election frequency,10
36,8.0,188.0,31.0,0.08,398.934834848258,251.18834362224328,1.2652230462677485,63.26115231338742,0.5760000000000001,0.0,election frequency,10
37,8.0,188.0,31.0,0.08,398.934834848258,258.0768083247336,1.246543374087033,62.327168704351664,0.5760000000000001,0.0,election frequency,10
38,8.0,188.0,31.0,0.08,398.934834848258,265.5538381724437,1.2370375390177464,61.85187695088733,0.576,0.0,election frequency,10
39,8.0,188.0,31.0,0.08,398.934834848258,270.21311355283325,1.1938599576648081,59.692997883240395,0.5760000000000001,-26.0,election frequency,10
40,7.000000000000001,188.0,31.0,0.07,398.934834848258,279.552614242162,1.2113101842731813,60.565509213659055,0.5760000000000001,0.0,election frequency,10
41,7.000000000000001,188.0,31.0,0.07,398.934834848258,286.8983998281251,1.2155634741870829,60.778173709354135,0.576,0.0,election frequency,10
42,7.000000000000001,188.0,31.0,0.07,398.934834848258,294.2880672118367,1.2198290776298213,60.99145388149107,0.5760000000000001,0.0,election frequency,10
43,7.000000000000001,188.0,31.0,0.07,398.934834848258,300.4858794353469,1.2092198315852396,60.46099157926197,0.5760000000000001,0.0,election frequency,10
44,7.000000000000001,188.0,31.0,0.07,398.934834848258,309.7621762475003,1.2377344335541645,61.88672167770824,0.5760000000000001,0.0,election frequency,10
45,7.000000000000001,188.0,31.0,0.07,398.934834848258,316.4447632969408,1.2324264883422125,61.6213244171106,0.5760000000000001,0.0,election frequency,10
46,7.000000000000001,188.0,31.0,0.07,398.934834848258,322.8880134182093,1.2247883458515354,61.239417292576775,0.5760000000000001,0.0,election frequency,10
47,7.000000000000001,188.0,31.0,0.07,398.934834848258,330.17673237056255,1.227690341162306,61.38451705811531,0.5760000000000001,0.0,election frequency,10
48,7.000000000000001,188.0,31.0,0.07,398.934834848258,337.8560308845479,1.2349755588841986,61.74877794420993,0.5760000000000001,0.0,election frequency,10
49,7.000000000000001,188.0,31.0,0.07,398.934834848258,344.13500434794867,1.2245125568676867,61.225627843384316,0.5760000000000001,-48.0,election frequency,10
50,6.0,188.0,31.0,0.060000000000000005,398.934834848258,350.75549138040134,1.2190039675670457,60.95019837835229,0.576,0.0,election frequency,10
51,6.0,188.0,31.0,0.060000000000000005,398.934834848258,357.54770015536053,1.2287579864778426,61.43789932389214,0.5760000000000001,0.0,election frequency,10
52,6.0,188.0,31.0,0.060000000000000005,398.934834848258,366.68453095467976,1.2664354342100212,63.32177171050107,0.5760000000000001,0.0,election frequency,10
53,6.0,188.0,31.0,0.060000000000000005,398.934834848258,375.8425562885157,1.3027496540273844,65.13748270136922,0.5760000000000001,0.0,election frequency,10
54,6.0,188.0,31.0,0.060000000000000005,398.934834848258,383.8661294802123,1.3226717728911508,66.13358864455753,0.576,0.0,election frequency,10
55,6.0,188.0,31.0,0.060000000000000005,398.934834848258,391.43309461819666,1.3363683827128776,66.8184191356439,0.576,0.0,election frequency,10
56,6.0,188.0,31.0,0.060000000000000005,398.934834848258,399.16176599257415,1.350550603232126,67.5275301616063,0.5760000000000001,0.0,election frequency,10
57,6.0,188.0,31.0,0.060000000000000005,398.934834848258,406.4607254394139,1.358588415117549,67.92942075587744,0.5760000000000001,0.0,election frequency,10
58,6.0,188.0,31.0,0.060000000000000005,398.934834848258,416.01004019862296,1.3930080006089058,69.65040003044531,0.5760000000000001,0.0,election frequency,10
59,6.0,188.0,31.0,0.060000000000000005,398.934834848258,423.549330247015,1.4011561169000364,70.05780584500182,0.576,-50.0,election frequency,10
60,5.0,188.0,31.0,0.05,398.934834848258,433.1412880204109,1.4344051314621589,71.72025657310796,0.576,0.0,election frequency,10
61,5.0,188.0,31.0,0.05,398.934834848258,443.98120133009206,1.4958510904326312,74.79255452163153,0.5760000000000001,0.0,election frequency,10
62,5.0,188.0,31.0,0.05,398.934834848258,452.8355965809893,1.5301976273605502,76.50988136802754,0.5760000000000001,0.0,election frequency,10
63,5.0,188.0,31.0,0.05,398.934834848258,462.6521917499177,1.5748598806954393,78.742994034772,0.5760000000000001,0.0,election frequency,10
64,5.0,188.0,31.0,0.05,398.934834848258,473.8103220694739,1.633147313203982,81.65736566019909,0.5760000000000001,0.0,election frequency,10
65,5.0,188.0,31.0,0.05,398.934834848258,484.97095722744893,1.6886078118721897,84.43039059360952,0.5760000000000001,0.0,election frequency,10
66,5.0,188.0,31.0,0.05,398.934834848258,497.2231944974514,1.7547920559909118,87.73960279954561,0.5760000000000001,0.0,election frequency,10
67,5.0,188.0,31.0,0.05,398.934834848258,506.27163103627385,1.7781908694804271,88.90954347402136,0.5760000000000001,0.0,election frequency,10
68,5.0,188.0,31.0,0.05,398.934834848258,519.0710773260774,1.846699239417448,92.33496197087241,0.5760000000000001,0.0,election frequency,10
69,5.0,188.0,31.0,0.05,398.934834848258,527.8933124075882,1.862594115078649,93.12970575393248,0.5760000000000001,-50.0,election frequency,10
70,4.0,188.0,31.0,0.04,398.934834848258,540.0517929963443,1.9186728485428377,95.93364242714188,0.5760000000000001,0.0,election frequency,10
